Score,Episodes,Rating,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format,Name_format,Type_format,Source_format
7,26,PG-13 - Teens 13 or older,23,1,3,19,127,314,0,1
7,4,PG-13 - Teens 13 or older,30,1,2,67,33,315,2,26
8,112,PG-13 - Teens 13 or older,24,1,0,3,3,316,0,1
7,1,PG-13 - Teens 13 or older,97,1,2,21,216,317,1,0
7,12,PG-13 - Teens 13 or older,23,1,0,10,1,318,0,1
7,13,R+ - Mild Nudity,23,2,1,3,4,319,0,1
8,13,PG-13 - Teens 13 or older,25,1,1,0,216,320,0,2
8,10,PG-13 - Teens 13 or older,25,1,1,0,216,321,0,2
8,2,PG-13 - Teens 13 or older,37,1,1,0,216,322,2,2
7,1,PG-13 - Teens 13 or older,2,1,1,0,216,323,3,2
8,24,R+ - Mild Nudity,25,2,0,20,216,324,0,1
8,2,R - 17+ (violence & profanity),42,0,3,68,5,325,2,1
7,12,R+ - Mild Nudity,14,2,0,26,9,326,0,1
7,6,R+ - Mild Nudity,26,2,0,24,64,327,2,1
7,1,R - 17+ (violence & profanity),48,0,7,6,15,328,1,0
8,45,PG-13 - Teens 13 or older,25,1,0,11,3,329,0,1
7,1,PG-13 - Teens 13 or older,25,1,1,69,191,330,3,26
7,26,PG-13 - Teens 13 or older,24,1,1,70,34,331,0,0
7,12,R+ - Mild Nudity,24,2,0,9,17,332,0,1
2,1,R - 17+ (violence & profanity),19,0,4,71,35,333,2,2
7,1,G - All Ages,104,3,0,72,128,334,1,1
8,1,G - All Ages,93,3,0,34,128,335,1,1
6,26,PG-13 - Teens 13 or older,24,1,1,67,140,336,0,26
7,26,PG-13 - Teens 13 or older,24,1,0,19,5,337,0,1
7,1,R - 17+ (violence & profanity),90,0,4,9,36,338,1,1
7,13,PG-13 - Teens 13 or older,23,1,0,0,91,339,0,0
7,2,PG-13 - Teens 13 or older,30,1,0,0,91,340,2,0
7,6,PG-13 - Teens 13 or older,26,1,0,0,91,341,2,0
7,24,PG-13 - Teens 13 or older,25,1,0,73,216,342,0,2
6,2,PG-13 - Teens 13 or older,26,1,0,10,13,343,2,1
6,4,PG-13 - Teens 13 or older,30,1,0,69,191,344,2,26
8,51,PG-13 - Teens 13 or older,23,1,0,2,15,345,0,0
8,1,PG - Children,24,1,0,74,4,346,2,0
8,1,PG - Children,50,1,0,37,4,347,2,0
8,1,PG-13 - Teens 13 or older,105,1,0,6,0,348,1,1
9,1,G - All Ages,119,3,2,72,128,349,1,2
7,6,R - 17+ (violence & profanity),27,0,1,0,190,350,2,0
6,1,R+ - Mild Nudity,42,2,1,75,64,351,2,0
7,20,PG-13 - Teens 13 or older,24,1,0,76,55,352,0,1
8,1,R+ - Mild Nudity,80,2,3,77,191,353,1,2
7,3,R - 17+ (violence & profanity),30,0,1,51,37,354,2,2
6,2,PG-13 - Teens 13 or older,45,1,2,10,79,355,2,1
8,39,PG-13 - Teens 13 or older,23,1,0,2,1,356,0,0
8,1,R+ - Mild Nudity,90,2,2,78,1,357,1,0
7,1,PG-13 - Teens 13 or older,82,1,0,6,3,358,1,1
7,1,R - 17+ (violence & profanity),21,0,0,12,9,359,2,0
7,13,R - 17+ (violence & profanity),20,0,1,10,24,360,0,1
7,25,PG-13 - Teens 13 or older,23,1,1,79,228,361,0,0
8,1,PG-13 - Teens 13 or older,99,1,0,80,216,362,1,1
8,1,PG-13 - Teens 13 or older,98,1,0,80,216,363,1,1
6,1,R+ - Mild Nudity,26,2,0,81,151,364,2,0
7,26,PG-13 - Teens 13 or older,25,1,0,82,1,365,0,0
9,26,PG-13 - Teens 13 or older,25,1,2,39,38,366,0,1
6,3,R+ - Mild Nudity,27,2,0,59,306,367,2,1
7,1,PG-13 - Teens 13 or older,55,1,0,24,321,368,1,1
7,1,PG-13 - Teens 13 or older,55,1,0,83,321,369,1,1
8,1,PG-13 - Teens 13 or older,95,1,0,83,321,370,1,1
8,1,PG-13 - Teens 13 or older,91,1,0,3,321,371,1,1
7,1,PG-13 - Teens 13 or older,94,1,0,24,321,372,1,1
8,26,R - 17+ (violence & profanity),25,0,1,0,15,373,0,1
8,1,R - 17+ (violence & profanity),99,0,4,0,15,374,1,1
7,24,PG-13 - Teens 13 or older,23,1,0,17,1,375,0,1
7,13,PG - Children,25,1,3,51,306,376,0,2
7,12,PG-13 - Teens 13 or older,23,1,1,12,406,377,0,0
8,4,R - 17+ (violence & profanity),39,0,4,73,31,378,2,0
7,12,PG-13 - Teens 13 or older,24,1,3,6,39,379,0,2
8,13,G - All Ages,24,3,2,2,74,380,0,1
7,26,PG-13 - Teens 13 or older,24,1,1,29,20,381,0,0
8,51,PG-13 - Teens 13 or older,23,1,0,84,5,382,0,1
7,224,PG-13 - Teens 13 or older,23,1,5,7,131,383,0,1
7,180,PG-13 - Teens 13 or older,23,1,0,2,131,384,0,1
7,24,PG-13 - Teens 13 or older,23,1,1,29,0,385,0,0
7,26,G - All Ages,5,3,0,85,228,386,0,1
8,13,R - 17+ (violence & profanity),24,0,1,8,2,387,0,2
7,13,R+ - Mild Nudity,23,2,0,12,27,388,0,1
8,12,PG-13 - Teens 13 or older,24,1,0,10,9,389,0,1
7,12,G - All Ages,26,3,0,6,40,390,0,0
7,26,PG-13 - Teens 13 or older,24,1,0,19,17,391,0,1
7,1,R - 17+ (violence & profanity),90,0,1,27,64,392,1,0
7,1,R+ - Mild Nudity,92,2,1,27,64,393,1,0
7,26,R - 17+ (violence & profanity),25,0,0,10,7,394,0,1
7,1,PG-13 - Teens 13 or older,132,1,2,17,191,395,1,2
6,3,PG-13 - Teens 13 or older,45,1,1,86,64,396,2,0
6,1,R - 17+ (violence & profanity),79,0,5,87,191,397,2,2
7,51,G - All Ages,24,3,0,2,74,398,0,0
7,23,PG-13 - Teens 13 or older,24,1,3,4,41,399,0,1
7,2,R - 17+ (violence & profanity),26,0,0,6,194,400,2,1
7,296,G - All Ages,25,3,0,2,105,401,0,1
7,13,PG-13 - Teens 13 or older,25,1,0,27,16,402,0,0
6,13,PG-13 - Teens 13 or older,24,1,0,88,21,403,0,2
6,13,PG-13 - Teens 13 or older,25,1,0,89,28,404,0,26
8,1,PG - Children,125,1,2,72,128,405,1,0
7,3,R - 17+ (violence & profanity),36,0,3,6,9,406,2,0
6,1,PG-13 - Teens 13 or older,80,1,1,17,31,407,1,1
